steps,reward,latency,bandwidth
83,-38.113,8.897,0.01936618
244,-68.976,20.165,0.01936618
283,-15.065,5.77,0.03211208
363,-32.072,9.432,0.01936618
387,-9.254,2.957,0.24058643
400,-4.281,1.924,0.03211208
755,-158.952,41.001,0.01936618
794,-19.028,3.384,0.01936618
838,-18.83,5.353,0.05767309
967,-54.334,15.543,0.01936618
968,1.01,0.045,0.26176816
1022,-21.629,7.263,0.03211208
1044,-7.848,2.883,0.05767309
1102,-26.865,5.262,0.04316252
1212,-48.401,12.816,0.01936618
1234,-6.942,2.564,0.11488941
1241,-2.578,0.999,0.08052643
1269,-10.906,3.818,0.02606726
1351,-34.85,8.765,0.03211208
1399,-18.867,6.005,0.04316252
1619,-98.095,27.818,0.02606726
1662,-14.681,6.205,0.03211208
1730,-27.03,8.273,0.03211208
1755,-10.911,2.973,0.11488941
1773,-5.101,1.649,0.21766825
1821,-18.366,5.45,0.05767309
1829,-0.382,1.426,0.03211208
1840,-3.565,1.254,0.14181017
1882,-16.295,4.572,0.04316252
2135,-111.518,29.425,0.01936618
2153,-7.334,1.635,0.01936618
2182,-10.553,3.694,0.01936618
2243,-23.361,7.598,0.05767309
2252,-1.489,1.146,0.11488941
2264,-2.406,1.624,0.16731505
2268,0.209,0.425,0.01936618
2288,-6.213,1.851,0.11262371
2297,-2.481,1.786,0.14181017
2312,-5.641,1.525,0.2659298
2341,-11.97,3.464,0.03211208
2369,-12.03,2.923,0.02606726
2405,-14.311,4.067,0.03211208
2413,-1.737,0.923,0.4100498
2478,-26.695,7.346,0.04316252
2494,-4.218,1.906,0.05767309
2509,-4.316,1.805,0.1292017
2566,-22.475,6.517,0.01936618
2590,-9.816,3.204,0.14181017
2627,-14.78,3.822,0.01936618
2629,1.139,0.268,0.24549004
2681,-20.317,5.336,0.03211208
2787,-45.189,11.348,0.02606726
2834,-17.711,5.8,0.04316252
3059,-100.401,29.482,0.01936618
3259,-81.455,24.665,0.02606726
3273,-5.332,1.39,0.01936618
3449,-82.819,18.946,0.01936618
3562,-49.337,12.539,0.01936618
3579,-5.342,1.878,0.1292017
3716,-58.082,18.467,0.01936618
3736,-7.619,3.011,0.01936618
3760,-8.28,2.778,0.11262371
3820,-25.622,6.436,0.06793869
3843,-9.067,2.632,0.1292017
3922,-33.519,10.254,0.02606726
3935,-2.316,1.885,0.03211208
3985,-20.393,6.815,0.01936618
4001,-4.25,1.536,0.11262371
4051,-20.546,6.595,0.03211208
4053,1.272,0.416,0.03211208
4098,-16.67,6.301,0.05767309
4126,-10.429,3.473,0.05767309
4152,-8.052,2.123,0.18957809
4203,-21.8,5.504,0.08052643
4226,-6.096,2.259,0.05767309
4297,-26.571,8.361,0.08052643
4327,-11.588,3.328,0.01936618
4345,-6.473,2.05,0.05767309
4347,1.12,0.228,0.68061019
4397,-22.702,6.639,0.02606726
4402,1.282,0.482,0.08052643
4440,-12.515,3.521,0.04316252
4451,-2.436,1.257,0.20582358
4483,-11.489,3.646,0.04316252
4494,-1.421,1.352,0.1709423
4499,0.37,0.442,0.2659298
4525,-9.014,2.459,0.11488941
4565,-17.543,5.002,0.01936618
4617,-21.866,5.332,0.04316252
4635,-5.179,2.027,0.02606726
4658,-8.142,2.796,0.21766825
4662,0.328,0.521,0.14920605
4698,-11.493,3.765,0.05767309
4775,-32.57,8.772,0.01936618
4796,-6.652,3.321,0.04316252
4852,-22.239,6.963,0.04316252
4901,-20.233,4.949,0.01936618
4948,-18.104,5.434,0.03211208
4958,-2.507,1.218,0.11488941
4990,-12.888,3.368,0.04316252
4995,0.194,0.887,0.37576764
5008,-3.384,1.519,0.11488941
5031,-9.21,2.148,0.16731505
5166,-56.233,15.089,0.01936618
5346,-79.679,20.173,0.01936618
5480,-54.487,14.86,0.01936618
5484,0.208,0.441,0.11262371
5546,-27.968,5.862,0.01936618
5573,-9.796,3.596,0.01936618
5577,0.317,0.633,0.1709423
5605,-9.988,3.186,0.02606726
5639,-14.29,3.826,0.08052643
5645,-0.647,0.587,0.18957809
5663,-5.069,2.344,0.14478646
5665,1.078,0.142,0.82091068
5668,0.05,0.258,0.45673309
5688,-10.281,2.658,0.1341009
5709,-6.952,2.886,0.08052643
5737,-11.749,3.783,0.11262371
5755,-5.403,2.375,0.04316252
5769,-5.341,1.437,0.16731505
5789,-7.436,1.416,0.2659298
5926,-54.831,16.079,0.01936618
5939,-4.551,1.352,0.04316252
5958,-5.432,2.092,0.11262371
5977,-4.74,2.753,0.02606726
5985,-1.711,1.089,0.04316252
5996,-2.434,1.446,0.1292017
5999,1.052,0.12,0.08052643
6006,-1.778,0.892,0.24058643
6017,-1.463,1.452,0.01936618
6046,-12.007,2.378,0.02606726
6063,-5.132,2.027,0.11441689
6087,-8.664,2.969,0.03211208
6104,-3.107,2.341,0.03211208
6127,-7.583,2.895,0.08052643
6204,-31.189,10.509,0.01936618
6210,0.387,0.747,0.21766825
6219,-1.528,1.24,0.05767309
6227,0.543,0.867,0.1709423
6236,-1.76,0.893,0.19993387
6239,1.195,0.349,0.24058643
6248,-2.47,1.078,0.1709423
6304,-25.303,6.789,0.04316252
6367,-26.244,6.874,0.05767309
6374,-0.685,0.673,0.01936618
6388,-5.726,0.618,0.19993387
6395,-1.5,0.756,0.28737835
6401,1.399,0.739,0.1341009
6414,-2.346,1.395,0.1292017
6459,-19.738,5.535,0.01936618
6495,-12.247,4.908,0.04316252
6500,0.38,0.729,0.11488941
6504,1.291,0.381,0.53568113
6521,-4.755,2.501,0.02606726
6533,-2.452,1.376,0.20582358
6541,-0.647,0.554,0.11262371
6550,-1.551,1.044,0.24549004
6560,-2.454,1.16,0.4100498
6570,-1.563,1.028,0.02606726
6576,-0.915,0.458,0.20848115
6589,-3.509,1.367,0.01936618
6607,-3.237,1.738,0.19993387
6620,-3.656,1.063,0.01936618
6627,-0.549,1.05,0.11441689
6645,-6.342,1.755,0.01936618
6648,1.062,0.145,0.01936618
6698,-21.319,7.221,0.03211208
6736,-17.376,4.904,0.08052643
6746,-2.577,0.942,0.1709423
6763,-6.168,1.722,0.01936618
6773,-3.575,1.108,0.16731505
6788,-4.264,1.596,0.18957809
6799,-1.441,1.647,0.11262371
6810,-1.585,0.89,0.02606726
6830,-6.27,1.986,0.04316252
6837,-1.554,1.03,0.35206481
6854,-3.641,2.67,0.16225102
6892,-16.169,4.227,0.01936618
6902,-3.46,1.31,0.1292017
6909,0.405,0.744,0.16731505
6911,1.126,0.156,0.52516486
6925,-5.237,1.97,0.02606726
6935,-2.661,1.25,0.37576764
6937,1.081,0.184,0.39507319
6939,1.097,0.281,0.14478646
6966,-9.073,2.74,0.08052643
6978,-3.433,1.137,0.14181017
6993,-2.92,2.233,0.04316252
7020,-11.057,2.413,0.11262371
7027,1.389,0.884,0.01936618
7046,-5.127,2.176,0.20582358
7095,-20.105,5.943,0.1341009
7099,1.175,0.562,0.25609067
7105,-0.733,0.774,0.1292017
7107,1.198,0.411,0.1341009
7113,-0.648,0.806,0.05767309
7118,0.267,0.717,0.14181017
7125,1.395,0.615,0.11441689
7147,-7.054,2.171,0.01936618
7152,-0.838,0.574,0.14920605
7155,1.142,0.325,0.14478646
7168,-3.24,2.001,0.05767309
7186,-5.367,1.705,0.04316252
7212,-10.731,3.238,0.08052643
7215,1.151,0.271,0.2659298
7245,-10.187,4.722,0.04316252
7260,-4.267,2.089,0.03211208
7264,1.351,0.366,0.04316252
7279,-5.424,1.574,0.05767309
7312,-11.207,4.042,0.01936618
7317,-0.854,0.44,0.33911364
7325,-1.668,1.004,0.21766825
7373,-20.055,5.955,0.04316252
7379,0.28,0.362,0.11262371
7406,-7.735,3.367,0.1341009
7409,0.167,0.353,0.24549004
7431,-5.895,3.592,0.08052643
7434,1.208,0.316,0.68061019
7474,-16.136,3.984,0.11262371
7487,-3.509,1.516,0.05767309
7527,-17.119,5.587,0.01936618
7537,-1.143,1.543,0.14478646
7572,-13.657,3.741,0.01936618
7574,1.099,0.192,0.47105341
7583,-1.348,1.763,0.22252502
7595,-2.281,1.892,0.03211208
7603,-1.34,1.115,0.06793869
7604,1.01,0.012,0.86348315
7611,-1.562,1.068,0.1292017
7618,-0.756,0.743,0.02606726
7621,1.285,0.452,0.24642506
7637,-4.126,1.999,0.06793869
7657,-6.018,2.272,0.04316252
7680,-7.696,2.906,0.06793869
7682,1.129,0.334,0.46110683
7690,-1.526,0.713,0.16731505
7693,1.262,0.41,0.35206481
7715,-8.266,2.03,0.04316252
7719,0.122,0.177,0.25033968
7743,-9.135,2.752,0.01936618
7751,-0.391,1.358,0.03211208
7757,-1.794,0.546,0.21766825
7763,-0.747,0.819,0.26176816
7770,-0.728,0.731,0.16731505
7771,1.01,0.267,0.92304744
7810,-14.599,3.582,0.11262371
7823,-3.036,1.994,0.05767309
7830,0.519,0.663,0.14181017
7836,-0.636,0.859,0.14478646
7850,-5.592,1.234,0.08052643
7855,0.468,0.609,0.06793869
7859,1.373,0.506,0.11488941
7878,-7.106,2.491,0.02606726
7884,-0.506,1.152,0.14181017
7890,-0.654,0.611,0.05767309
7896,-0.67,0.759,0.16731505
7898,1.175,0.319,0.76933899
7930,-11.5,3.164,0.11262371
7988,-23.884,7.059,0.04316252
8017,-10.747,4.071,0.03211208
8027,-1.364,1.39,0.38413427
8033,1.265,0.519,0.25033968
8038,-0.791,0.566,0.24549004
8047,-1.251,1.184,0.18957809
8055,-0.542,0.999,0.02606726
8061,0.124,0.291,0.08052643
8071,-2.703,0.886,0.1709423
8076,-0.675,0.595,0.14181017
8083,-0.752,0.678,0.02606726
8084,1.01,0.217,0.14920605
8100,-5.342,1.234,0.04316252
8109,-1.377,1.471,0.05767309
8110,1.01,0.04,0.20707
8119,-1.537,0.945,0.21766825
8132,-1.969,1.867,0.01936618
8138,-0.563,0.77,0.11488941
8148,-2.537,1.392,0.01936618
8171,-8.094,2.111,0.18957809
8181,-2.372,1.571,0.03211208
8189,-0.507,1.029,0.01936618
8193,0.306,0.589,0.05767309
8209,-3.227,1.766,0.04316252
8222,-3.467,1.032,0.08052643
8237,-4.231,1.728,0.14920605
8253,-2.863,2.322,0.06793869
8259,-1.707,0.669,0.02606726
8267,-1.571,1.041,0.20582358
8269,1.204,0.371,0.14478646
8293,-7.828,2.425,0.05767309
8350,-21.813,6.552,0.1341009
8381,-12.59,3.257,0.04316252
8387,-0.612,1.094,0.03211208
8391,0.147,0.279,0.47105341
8417,-7.189,2.79,0.22252502
8427,-1.418,1.203,0.06793869
8432,1.379,0.547,0.25033968
8446,-3.256,1.548,0.05767309
8447,1.01,0.13,0.1292017
8458,-1.303,1.775,0.1341009
8461,1.277,0.381,0.14478646
8463,1.166,0.456,0.33911364
8490,-9.546,3.567,0.03211208
8500,-2.468,1.133,0.14181017
8531,-11.487,3.278,0.11488941
8558,-9.08,3.891,0.04316252
8563,0.136,0.4,0.14478646
8569,-0.549,0.936,0.28737835
8582,-3.453,1.214,0.14920605
8583,1.01,0.14,0.04316252
8584,1.01,0.068,0.82091068
8589,0.314,0.503,0.53568113
8626,-14.529,5.372,0.01936618
8631,0.195,0.323,0.25033968
8641,-1.355,0.998,0.11441689
8661,-6.039,2.068,0.01936618
8668,-0.594,1.152,0.05767309
8692,-9.267,2.073,0.08052643
8695,0.124,0.621,0.46110683
8697,1.121,0.373,0.03211208
8701,0.129,0.4,0.11488941
8710,-1.357,1.146,0.18957809
8718,0.437,0.809,0.18957809
8727,-2.566,1.052,0.05767309
